myDescription,careAboutMonthDemand_Beta_01,t_month_Disaster,numMonthsToAvg,setScenarioProbabilitiesTo1OverN_Flag,minDisasterYear,maxDisasterYear,minYearSubset,maxYearSubset,truckDistanceMethod,expandWhichWarehousesCarryItem_01,maxDrivingTimeCutAbove_Hrs,minTimeRequiredToRespond,numDisasters,n_itemIter,initialInventorySum,objCostType,initialSuppliesVarFlag,myFracServed,myFractionOfDisastersUsingDummy,myItemDemandMetWeighted,myWeightedDemand,myPeopleServedPerItemShipped,myPeopleServedPerItemAll,bigMCostDummy,objVal,objValPerUnitShipped,dualTotInv,dualTotInvAdj,compareObjVal_Cost,compareObjVal_Time,compareObjVal_pureKM
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Cost,Optimal,0.15177018653683405,0.0410958904109589,5309.541095890377,34984.084931506586,2.499999999952918,2.499999999992864,10000,4131445.4416438174,778.1172359252995,-383.23767123287496,27.721232876714055,4131445.441643815,113043.73424657484,5821055.057982157
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Cost,Actual,0.15177018653683427,0.0410958904109589,5309.5410958903885,34984.08493150661,2.4999999999529128,2.4999999999928626,10000,5540586.310684906,1043.5151005552998,,,5540586.310684905,133764.42191780757,7791330.32282536
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Time,Optimal,0.15177018653683405,0.0410958904109589,5309.541095890376,34984.08493150658,2.4999999999529186,2.4999999999928644,10000,113043.73424657476,21.290678836998246,-410.1472602739708,0.811643835618213,4133684.7147945,113043.73424657487,5826545.355842489
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Time,Actual,0.15177018653683425,0.0410958904109589,5309.541095890387,34984.08493150661,2.4999999999529137,2.4999999999928626,10000,133764.42191780763,25.193217172539203,,,5541786.138082168,133764.4219178076,7791921.520143987
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,BlanketGen,89997,Cost,Optimal,0.17241215594580028,0.030821917808219176,6031.681506849293,34984.08493150668,2.4999999999585483,2.4999999999928573,10000,1139831.4929732976,188.9740848650681,-305.1987903863,3.0203876958917704,1139831.4929732983,127318.42945205419,6521566.994776822
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,BlanketGen,89997,Cost,Actual,0.1724121559457998,0.030821917808219176,6031.6815068492815,34984.08493150671,2.499999999958553,2.499999999992855,10000,1481479.6182895426,245.6163536789344,,,1481479.6182895417,147675.50753424581,8431037.325630317
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,BlanketGen,89997,Time,Optimal,0.17241215594580028,0.030821917808219176,6031.681506849293,34984.08493150668,2.4999999999585483,2.4999999999928573,10000,127318.42945205413,21.10828121567203,-307.7363013698616,0.48287671233015317,1140414.5504796766,127318.42945205419,6526984.3306016615
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,BlanketGen,89997,Time,Actual,0.17241215594579984,0.030821917808219176,6031.6815068492815,34984.0849315067,2.499999999958553,2.4999999999928555,10000,147675.50753424573,24.483306581109154,,,1481511.2821726375,147675.50753424581,8431229.531081885
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,ShelterKit,76894,Cost,Optimal,0.1589781607929741,0.0410958904109589,5561.705479452022,34984.08493150663,2.499999999955051,2.49999999999286,10000,9496543.791945158,1707.4877170069199,-341.24301369862866,69.71589041096036,9496543.791945167,118238.16986301316,6086754.356163555
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,ShelterKit,76894,Cost,Actual,0.15897816079297483,0.0410958904109589,5561.705479452036,34984.084931506564,2.499999999955045,2.499999999992865,10000,10583888.248849269,1902.9932972469699,,,10583888.248849267,125453.84999999937,6793618.395478685
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,ShelterKit,76894,Time,Optimal,0.15897816079297422,0.0410958904109589,5561.705479452024,34984.084931506615,2.49999999995505,2.4999999999928613,10000,118238.16986301308,21.259336780367732,-410.0890410958885,0.8698630137005239,9501475.98641092,118238.16986301317,6092249.166428113
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,ShelterKit,76894,Time,Actual,0.15897816079297486,0.0410958904109589,5561.705479452036,34984.08493150656,2.499999999955045,2.4999999999928653,10000,125453.84999999932,22.556723016211194,,,10584637.439260228,125453.84999999938,6793510.965938182
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,Tarpaulin4x6,110503,Cost,Optimal,0.189452096064119,0.0273972602739726,6627.808219178047,34984.08493150668,2.4999999999622804,2.4999999999928577,10000,4095699.310689486,617.9568230077156,-261.0092399452043,12.963362794521743,4095699.310689487,137549.94178082122,6938714.590604297
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,Tarpaulin4x6,110503,Cost,Actual,0.18945209606411947,0.0273972602739726,6627.8082191780495,34984.08493150661,2.4999999999622795,2.499999999992863,10000,4471633.867161073,674.6776187872492,,,4471633.867161073,144142.56232876633,7600725.762272558
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,Tarpaulin4x6,110503,Time,Optimal,0.1894520960641194,0.0273972602739726,6627.808219178057,34984.08493150666,2.4999999999622764,2.499999999992859,10000,137547.6376712321,20.75311069972611,-273.47602739725903,0.49657534246699697,4097750.6381447865,137547.63767123217,6944919.363127587
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,Tarpaulin4x6,110503,Time,Actual,0.18945209606411953,0.0273972602739726,6627.80821917805,34984.0849315066,2.499999999962279,2.4999999999928635,10000,144142.56232876636,21.74814924630807,,,4472378.187939485,144142.56232876636,7600176.708349845
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,SleepingMats,135621,Cost,Optimal,0.2075933197328182,0.023972602739726026,7262.462328767086,34984.084931506644,2.499999999965577,2.499999999992859,10000,1512030.855452048,208.19809962276508,-235.75517808219067,3.970849315069586,1512030.855452048,148602.51780821834,7389525.9472546205
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,SleepingMats,135621,Cost,Actual,0.20759331973281772,0.023972602739726026,7262.462328767082,34984.08493150671,2.499999999965578,2.499999999992854,10000,1741152.4099594438,239.746842202355,,,1741152.409959444,160300.11027397175,8550253.506966805
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,SleepingMats,135621,Time,Optimal,0.20759331973281822,0.023972602739726026,7262.462328767085,34984.08493150664,2.4999999999655773,2.4999999999928595,10000,148602.51780821828,20.461726488762345,-239.28767123287565,0.4383561643846008,1512716.3963704042,148602.51780821834,7394917.854512099
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,SleepingMats,135621,Time,Actual,0.20759331973281775,0.023972602739726026,7262.462328767082,34984.0849315067,2.499999999965578,2.499999999992855,10000,160300.11027397172,22.072418831944283,,,1741990.9917895813,160300.1102739718,8554720.467227759
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,JerryCanGen,79413,Cost,Optimal,0.1619372362739416,0.0410958904109589,5665.226027397228,34984.08493150666,2.4999999999558726,2.4999999999928564,10000,152820.09829426755,26.97511053443001,-409.857393041094,1.1015110684950287,152820.09829426787,120429.35479451997,6196918.705744674
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,JerryCanGen,79413,Cost,Actual,0.16193723627394196,0.0410958904109589,5665.226027397234,34984.08493150662,2.49999999995587,2.499999999992859,10000,201213.8305518894,35.517352630814806,,,201213.83055188955,141278.90684931443,8227656.370833909
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,JerryCanGen,79413,Time,Optimal,0.16193723627394163,0.0410958904109589,5665.226027397229,34984.08493150666,2.499999999955872,2.4999999999928564,10000,120429.35479451995,21.25764342146168,-410.0890410958885,0.8698630137005239,152897.8586903336,120429.35479451997,6202396.5646027215
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,JerryCanGen,79413,Time,Actual,0.16193723627394202,0.0410958904109589,5665.226027397235,34984.084931506615,2.4999999999558695,2.4999999999928595,10000,141278.90684931423,24.93791177326211,,,201244.10817846484,141278.90684931443,8228042.835225636
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,MosquitoNetGen,129853,Cost,Optimal,0.20364083754347237,0.023972602739726026,7124.188356164345,34984.08493150663,2.499999999964908,2.4999999999928604,10000,458630.4326342446,64.37651697276756,-238.50306095890303,1.2229664383572185,458630.43263424456,146074.07945205396,7281968.189112092
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,MosquitoNetGen,129853,Cost,Actual,0.20364083754347204,0.023972602739726026,7124.18835616435,34984.08493150671,2.4999999999649067,2.4999999999928546,10000,497423.46175343596,69.82177293446318,,,497423.461753436,152486.56232876627,7925593.73924361
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,MosquitoNetGen,129853,Time,Optimal,0.20364083754347234,0.023972602739726026,7124.188356164344,34984.08493150663,2.4999999999649085,2.4999999999928604,10000,146074.07945205393,20.50396089311845,-239.28767123287565,0.4383561643846008,458841.694381724,146074.07945205396,7287358.061648245
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,MosquitoNetGen,129853,Time,Actual,0.20364083754347198,0.023972602739726026,7124.188356164348,34984.08493150671,2.499999999964907,2.4999999999928546,10000,152486.56232876633,21.404061024675723,,,497629.55758861423,152486.5623287663,7929882.454042323
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,Tent,112502,Cost,Optimal,0.1307634132808594,0.10616438356164383,4574.638356164364,34984.08493150664,2.499999999945348,2.4999999999928595,10000,20137129.56756154,4401.906336483713,-147.267671232876,914.3761643835624,20137129.56756155,69810.76986301343,2454785.9279142073
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,Tent,112502,Cost,Actual,0.10089734737277546,0.1095890410958904,3529.8013698629975,34984.084931506666,2.4999999999291735,2.4999999999928573,10000,15342070.64663007,4346.44022102323,,,15342070.64663006,53730.058219177845,1859457.1961351824
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,Tent,112502,Time,Optimal,0.19101758286746828,0.0273972602739726,6682.575342465723,34984.08493150666,2.4999999999625886,2.499999999992858,10000,138540.29178082105,20.731571988177475,-273.47602739725903,0.49657534246699697,57457480.63923268,138540.29178082122,6987221.105610974
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,Tent,112502,Time,Actual,0.19101758286746845,0.0273972602739726,6682.575342465724,34984.08493150663,2.4999999999625886,2.49999999999286,10000,169178.87671232797,25.316418901365207,,,81397737.78871189,169178.876712328,9935068.076849757
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Cost,Optimal,0.15177018653683405,0.0410958904109589,5309.541095890377,34984.084931506586,2.499999999952918,2.499999999992864,10000,4131445.4416438174,778.1172359252995,-383.23767123287496,27.721232876714055,4131445.441643815,113043.73424657484,5821055.057982157
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Cost,Actual,0.15177018653683427,0.0410958904109589,5309.5410958903885,34984.08493150661,2.4999999999529128,2.4999999999928626,10000,5540586.310684906,1043.5151005552998,,,5540586.310684905,133764.42191780757,7791330.32282536
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Time,Optimal,0.15177018653683405,0.0410958904109589,5309.541095890376,34984.08493150658,2.4999999999529186,2.4999999999928644,10000,113043.73424657476,21.290678836998246,-410.1472602739708,0.811643835618213,4133684.7147945,113043.73424657487,5826545.355842489
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Time,Actual,0.15177018653683425,0.0410958904109589,5309.541095890387,34984.08493150661,2.4999999999529137,2.4999999999928626,10000,133764.42191780763,25.193217172539203,,,5541786.138082168,133764.4219178076,7791921.520143987
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,BlanketGen,89997,Cost,Optimal,0.17241215594580028,0.030821917808219176,6031.681506849293,34984.08493150668,2.4999999999585483,2.4999999999928573,10000,1139831.4929732976,188.9740848650681,-305.1987903863,3.0203876958917704,1139831.4929732983,127318.42945205419,6521566.994776822
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,BlanketGen,89997,Cost,Actual,0.1724121559457998,0.030821917808219176,6031.6815068492815,34984.08493150671,2.499999999958553,2.499999999992855,10000,1481479.6182895426,245.6163536789344,,,1481479.6182895417,147675.50753424581,8431037.325630317
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,BlanketGen,89997,Time,Optimal,0.17241215594580028,0.030821917808219176,6031.681506849293,34984.08493150668,2.4999999999585483,2.4999999999928573,10000,127318.42945205413,21.10828121567203,-307.7363013698616,0.48287671233015317,1140414.5504796766,127318.42945205419,6526984.3306016615
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,BlanketGen,89997,Time,Actual,0.17241215594579984,0.030821917808219176,6031.6815068492815,34984.0849315067,2.499999999958553,2.4999999999928555,10000,147675.50753424573,24.483306581109154,,,1481511.2821726375,147675.50753424581,8431229.531081885
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,ShelterKit,76894,Cost,Optimal,0.1589781607929741,0.0410958904109589,5561.705479452022,34984.08493150663,2.499999999955051,2.49999999999286,10000,9496543.791945158,1707.4877170069199,-341.24301369862866,69.71589041096036,9496543.791945167,118238.16986301316,6086754.356163555
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,ShelterKit,76894,Cost,Actual,0.15897816079297483,0.0410958904109589,5561.705479452036,34984.084931506564,2.499999999955045,2.499999999992865,10000,10583888.248849269,1902.9932972469699,,,10583888.248849267,125453.84999999937,6793618.395478685
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,ShelterKit,76894,Time,Optimal,0.15897816079297422,0.0410958904109589,5561.705479452024,34984.084931506615,2.49999999995505,2.4999999999928613,10000,118238.16986301308,21.259336780367732,-410.0890410958885,0.8698630137005239,9501475.98641092,118238.16986301317,6092249.166428113
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,ShelterKit,76894,Time,Actual,0.15897816079297486,0.0410958904109589,5561.705479452036,34984.08493150656,2.499999999955045,2.4999999999928653,10000,125453.84999999932,22.556723016211194,,,10584637.439260228,125453.84999999938,6793510.965938182
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,Tarpaulin4x6,110503,Cost,Optimal,0.189452096064119,0.0273972602739726,6627.808219178047,34984.08493150668,2.4999999999622804,2.4999999999928577,10000,4095699.310689486,617.9568230077156,-261.0092399452043,12.963362794521743,4095699.310689487,137549.94178082122,6938714.590604297
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,Tarpaulin4x6,110503,Cost,Actual,0.18945209606411947,0.0273972602739726,6627.8082191780495,34984.08493150661,2.4999999999622795,2.499999999992863,10000,4471633.867161073,674.6776187872492,,,4471633.867161073,144142.56232876633,7600725.762272558
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,Tarpaulin4x6,110503,Time,Optimal,0.1894520960641194,0.0273972602739726,6627.808219178057,34984.08493150666,2.4999999999622764,2.499999999992859,10000,137547.6376712321,20.75311069972611,-273.47602739725903,0.49657534246699697,4097750.6381447865,137547.63767123217,6944919.363127587
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,Tarpaulin4x6,110503,Time,Actual,0.18945209606411953,0.0273972602739726,6627.80821917805,34984.0849315066,2.499999999962279,2.4999999999928635,10000,144142.56232876636,21.74814924630807,,,4472378.187939485,144142.56232876636,7600176.708349845
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,SleepingMats,135621,Cost,Optimal,0.2075933197328182,0.023972602739726026,7262.462328767086,34984.084931506644,2.499999999965577,2.499999999992859,10000,1512030.855452048,208.19809962276508,-235.75517808219067,3.970849315069586,1512030.855452048,148602.51780821834,7389525.9472546205
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,SleepingMats,135621,Cost,Actual,0.20759331973281772,0.023972602739726026,7262.462328767082,34984.08493150671,2.499999999965578,2.499999999992854,10000,1741152.4099594438,239.746842202355,,,1741152.409959444,160300.11027397175,8550253.506966805
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,SleepingMats,135621,Time,Optimal,0.20759331973281822,0.023972602739726026,7262.462328767085,34984.08493150664,2.4999999999655773,2.4999999999928595,10000,148602.51780821828,20.461726488762345,-239.28767123287565,0.4383561643846008,1512716.3963704042,148602.51780821834,7394917.854512099
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,SleepingMats,135621,Time,Actual,0.20759331973281775,0.023972602739726026,7262.462328767082,34984.0849315067,2.499999999965578,2.499999999992855,10000,160300.11027397172,22.072418831944283,,,1741990.9917895813,160300.1102739718,8554720.467227759
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,JerryCanGen,79413,Cost,Optimal,0.1619372362739416,0.0410958904109589,5665.226027397228,34984.08493150666,2.4999999999558726,2.4999999999928564,10000,152820.09829426755,26.97511053443001,-409.857393041094,1.1015110684950287,152820.09829426787,120429.35479451997,6196918.705744674
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,JerryCanGen,79413,Cost,Actual,0.16193723627394196,0.0410958904109589,5665.226027397234,34984.08493150662,2.49999999995587,2.499999999992859,10000,201213.8305518894,35.517352630814806,,,201213.83055188955,141278.90684931443,8227656.370833909
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,JerryCanGen,79413,Time,Optimal,0.16193723627394163,0.0410958904109589,5665.226027397229,34984.08493150666,2.499999999955872,2.4999999999928564,10000,120429.35479451995,21.25764342146168,-410.0890410958885,0.8698630137005239,152897.8586903336,120429.35479451997,6202396.5646027215
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,JerryCanGen,79413,Time,Actual,0.16193723627394202,0.0410958904109589,5665.226027397235,34984.084931506615,2.4999999999558695,2.4999999999928595,10000,141278.90684931423,24.93791177326211,,,201244.10817846484,141278.90684931443,8228042.835225636
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,MosquitoNetGen,129853,Cost,Optimal,0.20364083754347237,0.023972602739726026,7124.188356164345,34984.08493150663,2.499999999964908,2.4999999999928604,10000,458630.4326342446,64.37651697276756,-238.50306095890303,1.2229664383572185,458630.43263424456,146074.07945205396,7281968.189112092
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,MosquitoNetGen,129853,Cost,Actual,0.20364083754347204,0.023972602739726026,7124.18835616435,34984.08493150671,2.4999999999649067,2.4999999999928546,10000,497423.46175343596,69.82177293446318,,,497423.461753436,152486.56232876627,7925593.73924361
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,MosquitoNetGen,129853,Time,Optimal,0.20364083754347234,0.023972602739726026,7124.188356164344,34984.08493150663,2.4999999999649085,2.4999999999928604,10000,146074.07945205393,20.50396089311845,-239.28767123287565,0.4383561643846008,458841.694381724,146074.07945205396,7287358.061648245
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,MosquitoNetGen,129853,Time,Actual,0.20364083754347198,0.023972602739726026,7124.188356164348,34984.08493150671,2.499999999964907,2.4999999999928546,10000,152486.56232876633,21.404061024675723,,,497629.55758861423,152486.5623287663,7929882.454042323
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,Tent,112502,Cost,Optimal,0.1307634132808594,0.10616438356164383,4574.638356164364,34984.08493150664,2.499999999945348,2.4999999999928595,10000,20137129.56756154,4401.906336483713,-147.267671232876,914.3761643835624,20137129.56756155,69810.76986301343,2454785.9279142073
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,Tent,112502,Cost,Actual,0.10089734737277546,0.1095890410958904,3529.8013698629975,34984.084931506666,2.4999999999291735,2.4999999999928573,10000,15342070.64663007,4346.44022102323,,,15342070.64663006,53730.058219177845,1859457.1961351824
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,Tent,112502,Time,Optimal,0.19101758286746828,0.0273972602739726,6682.575342465723,34984.08493150666,2.4999999999625886,2.499999999992858,10000,138540.29178082105,20.731571988177475,-273.47602739725903,0.49657534246699697,57457480.63923268,138540.29178082122,6987221.105610974
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,Tent,112502,Time,Actual,0.19101758286746845,0.0273972602739726,6682.575342465724,34984.08493150663,2.4999999999625886,2.49999999999286,10000,169178.87671232797,25.316418901365207,,,81397737.78871189,169178.876712328,9935068.076849757
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Cost,Optimal,0.15177018653683405,0.0410958904109589,5309.541095890377,34984.084931506586,2.499999999952918,2.499999999992864,10000,4131445.4416438174,778.1172359252995,-383.23767123287496,27.721232876714055,4131445.441643815,113043.73424657484,5821055.057982157
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Cost,Actual,0.15177018653683427,0.0410958904109589,5309.5410958903885,34984.08493150661,2.4999999999529128,2.4999999999928626,10000,5540586.310684906,1043.5151005552998,,,5540586.310684905,133764.42191780757,7791330.32282536
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Time,Optimal,0.15177018653683405,0.0410958904109589,5309.541095890376,34984.08493150658,2.4999999999529186,2.4999999999928644,10000,113043.73424657476,21.290678836998246,-410.1472602739708,0.811643835618213,4133684.7147945,113043.73424657487,5826545.355842489
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,KitchenSetGen,70758,Time,Actual,0.15177018653683425,0.0410958904109589,5309.541095890387,34984.08493150661,2.4999999999529137,2.4999999999928626,10000,133764.42191780763,25.193217172539203,,,5541786.138082168,133764.4219178076,7791921.520143987
testRun,1,-1,3,1,1900,2017,1900,2017,google,0,100,1000000.0,292,BlanketGen,89997,Cost,Optimal,0.17241215594580028,0.030821917808219176,6031.681506849293,34984.08493150668,2.4999999999585483,2.4999999999928573,10000,1139831.4929732976,188.9740848650681,-305.1987903863,3.0203876958917704,1139831.4929732983,127318.42945205419,6521566.994776822
